work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,SE,FT,Data Product Owner,170000,US,0,US,M
2025,SE,FT,Data Product Owner,110000,US,0,US,M
2025,SE,FT,Engineer,143000,US,0,US,M
2025,SE,FT,Engineer,106000,US,0,US,M
2025,SE,FT,Manager,360200,US,0,US,M
2025,SE,FT,Manager,239700,US,0,US,M
2025,EN,FT,Data Scientist,62484,GB,0,GB,M
2025,EN,FT,Data Scientist,52054,GB,0,GB,M
2025,SE,FT,Data Scientist,234000,US,0,US,M
2025,SE,FT,Data Scientist,146000,US,0,US,M
2025,SE,FT,Data Scientist,86000,US,0,US,M
2025,SE,FT,Data Scientist,80000,US,0,US,M
2025,EN,FT,Data Scientist,126000,CA,0,CA,M
2025,EN,FT,Data Scientist,68700,CA,0,CA,M
2025,SE,FT,AI Architect,228300,US,0,US,M
2025,SE,FT,AI Architect,105200,US,0,US,M
2025,SE,FT,Data Engineer,216000,US,0,US,M
2025,SE,FT,Data Engineer,135000,US,0,US,M
2025,SE,FT,Engineer,216000,US,0,US,M
2025,SE,FT,Engineer,135000,US,0,US,M
2025,MI,FT,Engineer,179000,US,0,US,M
2025,MI,FT,Engineer,112000,US,0,US,M
2025,SE,FT,Engineer,282000,US,0,US,M
2025,SE,FT,Engineer,176000,US,0,US,M
2025,SE,FT,Engineer,234000,US,0,US,M
2025,SE,FT,Engineer,146000,US,0,US,M
2025,EN,FT,AI Engineer,124805,US,0,US,L
2025,EN,FT,AI Engineer,83203,US,0,US,L
2025,SE,FT,Research Engineer,145000,US,0,US,M
2025,SE,FT,Research Engineer,98200,US,0,US,M
2025,SE,FT,Research Engineer,185000,US,0,US,M
2025,SE,FT,Research Engineer,111200,US,0,US,M
2025,SE,FT,Data Analyst,75789,DE,0,DE,M
2025,SE,FT,Data Analyst,55528,DE,0,DE,M
2025,SE,FT,Data Analyst,219200,US,0,US,M
2025,SE,FT,Data Analyst,103800,US,0,US,M
2025,EN,FT,Data Analyst,90000,US,0,US,M
2025,EN,FT,Data Analyst,60000,US,0,US,M
2025,SE,FT,Research Engineer,147600,US,0,US,M
2025,SE,FT,Research Engineer,88600,US,0,US,M
2025,MI,FT,Business Intelligence Developer,107309,CA,0,CA,M
2025,MI,FT,Business Intelligence Developer,85839,CA,0,CA,M
2025,MI,FT,Data Manager,41334,GB,0,GB,M
2025,MI,FT,Data Manager,39325,GB,0,GB,M
2025,MI,FT,Data Management Specialist,102000,US,0,US,M
2025,MI,FT,Data Management Specialist,68000,US,0,US,M
2025,SE,FT,Quantitative Developer,285000,US,0,US,M
2025,SE,FT,Quantitative Developer,155000,US,0,US,M
2025,MI,FT,Manager,136200,US,0,US,M
2025,MI,FT,Manager,81000,US,0,US,M
2025,SE,FT,Software Engineer,294000,US,0,US,M
2025,SE,FT,Software Engineer,137600,US,0,US,M
2025,SE,FT,Technical Lead,175000,US,100,US,M
2025,SE,FT,Technical Lead,150000,US,100,US,M
2025,SE,FT,Software Engineer,253000,CA,0,CA,M
2025,SE,FT,Software Engineer,135800,CA,0,CA,M
2025,EN,FT,Sales Development Representative,70000,US,0,US,M
2025,EN,FT,Sales Development Representative,50000,US,0,US,M
2025,SE,FT,Consultant,211000,US,0,US,M
2025,SE,FT,Consultant,142000,US,0,US,M
2025,EN,FT,Analyst,70000,US,0,US,M
2025,EN,FT,Analyst,65000,US,0,US,M
2025,SE,FT,System Engineer,147600,US,0,US,M
2025,SE,FT,System Engineer,88600,US,0,US,M
2025,MI,FT,AI Engineer,188500,US,0,US,M
2025,MI,FT,AI Engineer,165100,US,0,US,M
2025,SE,FT,Data Scientist,169000,US,0,US,M
2025,SE,FT,Data Scientist,105000,US,0,US,M
2025,SE,FT,Data Scientist,218500,US,0,US,M
2025,SE,FT,Data Scientist,161500,US,0,US,M
2025,MI,FT,Data Scientist,146800,US,0,US,M
2025,MI,FT,Data Scientist,115600,US,0,US,M
2025,SE,FT,Product Manager,224000,US,0,US,M
2025,SE,FT,Product Manager,143000,US,0,US,M
2025,MI,FT,AI Engineer,51789,LT,0,LT,M
2025,MI,FT,AI Engineer,48000,LT,0,LT,M
2025,SE,FT,AI Engineer,56842,LT,0,LT,M
2025,SE,FT,AI Engineer,50526,LT,0,LT,M
